回号,抽せん日,第1数字,第2数字,第3数字,第4数字,ストレート口数,ボックス口数,セット（ストレート）口数,セット（ボックス）口数,ストレート当選金額,ボックス当選金額,セット（ストレート）当選金額,セット（ボックス）当選金額
6704,2025-04-15,2,1,6,6,12,109,46.0,540.0,1283500,106900,695200.0,53400.0
6705,2025-04-16,7,5,5,5,22,50,33.0,139.0,1241300,310300,775800.0,155100.0
6706,2025-04-17,8,8,4,2,16,148,65.0,608.0,999500,83200,541300.0,41600.0
6707,2025-04-18,4,8,1,1,31,202,72.0,833.0,780000,65000,422500.0,32500.0
6708,2025-04-21,7,8,3,4,27,446,46.0,1769.0,952600,39600,496100.0,19800.0
6709,2025-04-22,6,6,9,7,9,99,37.0,467.0,1511400,125900,818600.0,62900.0
6710,2025-04-23,7,0,5,9,13,253,65.0,1086.0,1120300,46600,583400.0,23300.0
6711,2025-04-24,9,6,8,6,18,139,39.0,541.0,1222800,101900,662300.0,50900.0
6712,2025-04-25,4,0,7,1,20,361,48.0,1490.0,1053000,43800,548400.0,21900.0
6713,2025-04-28,1,6,7,0,38,334,60.0,1591.0,880100,36600,458300.0,18300.0
6714,2025-04-29,3,4,4,9,7,111,30.0,474.0,1624700,135300,880000.0,67600.0
6715,2025-04-30,5,3,2,3,23,183,79.0,762.0,810900,67500,439200.0,33700.0
6716,2025-05-01,8,9,6,8,32,164,47.0,680.0,946100,78800,512400.0,39400.0
6717,2025-05-02,2,9,4,8,40,301,78.0,1280.0,781600,32500,407000.0,16200.0
6718,2025-05-05,8,3,9,1,17,439,70.0,1916.0,868200,36100,452100.0,18000.0
6719,2025-05-06,0,0,8,1,16,191,36.0,829.0,935000,77900,506400.0,38900.0
6720,2025-05-07,1,9,5,2,55,377,169.0,1787.0,455300,18900,237100.0,9400.0
6721,2025-05-08,8,1,5,6,35,313,58.0,1291.0,841000,35000,438000.0,17500.0
6722,2025-05-09,1,8,8,3,34,184,46.0,746.0,877100,73000,475000.0,36500.0
6723,2025-05-12,8,8,9,2,34,141,50.0,564.0,1059300,88200,573700.0,44100.0
6724,2025-05-13,9,5,6,5,15,159,62.0,639.0,992900,82700,537800.0,41300.0
6725,2025-05-14,1,8,9,8,32,224,61.0,816.0,733200,61100,397100.0,30500.0
6726,2025-05-15,4,3,6,8,80,349,102.0,1445.0,510000,21200,265600.0,10600.0
6727,2025-05-16,4,1,1,6,25,127,46.0,493.0,1125600,93800,609700.0,46900.0
6728,2025-05-19,9,6,0,1,18,473,64.0,2043.0,859400,35800,447600.0,17900.0
6729,2025-05-20,6,4,1,8,26,435,77.0,1574.0,719700,29900,374800.0,14900.0
6730,2025-05-21,2,7,6,2,6,115,41.0,556.0,1401400,116700,759000.0,58300.0
6731,2025-05-22,9,8,9,9,20,76,51.0,158.0,924500,231100,577800.0,115500.0
6732,2025-05-23,2,7,1,8,51,404,109.0,1679.0,597800,24900,311300.0,12400.0
6733,2025-05-26,9,1,1,5,5,149,49.0,605.0,1440800,120000,780400.0,60000.0
6734,2025-05-27,3,6,9,7,16,245,56.0,1176.0,1046800,43600,545200.0,21800.0
6735,2025-05-28,7,3,5,7,54,142,46.0,650.0,737600,61400,399500.0,30700.0
6736,2025-05-29,6,7,7,9,14,106,56.0,578.0,1101500,91700,596600.0,45800.0
6737,2025-05-30,7,1,4,1,16,171,30.0,784.0,1138400,94800,616600.0,47400.0
6738,2025-06-02,2,8,3,9,22,502,93.0,1792.0,805100,33500,419300.0,16700.0
6739,2025-06-03,2,3,7,0,12,322,44.0,1420.0,1077900,44900,561400.0,22400.0
6740,2025-06-04,5,9,4,4,15,165,51.0,708.0,1036600,86300,561400.0,43100.0
6741,2025-06-05,9,3,1,8,18,424,67.0,1806.0,816000,34000,425000.0,17000.0
6742,2025-06-06,6,5,6,3,59,182,79.0,654.0,666600,55500,361000.0,27700.0
6743,2025-06-09,5,0,8,4,60,315,61.0,1206.0,743500,30900,387200.0,15400.0
6744,2025-06-10,3,1,4,2,16,288,40.0,1152.0,1105000,46000,575500.0,23000.0
6745,2025-06-11,3,1,7,6,22,328,50.0,1301.0,951000,39600,495300.0,19800.0
6746,2025-06-12,7,6,6,6,8,48,42.0,155.0,1277300,319300,798300.0,159600.0
6747,2025-06-13,2,4,8,2,31,177,46.0,596.0,997500,83100,540300.0,41500.0
6748,2025-06-16,6,3,2,6,81,173,81.0,818.0,613300,51100,332200.0,25500.0
6749,2025-06-17,0,9,7,5,10,273,27.0,1166.0,1475200,61400,768300.0,30700.0
6750,2025-06-18,7,5,9,2,19,339,64.0,1437.0,926600,38600,482600.0,19300.0
6751,2025-06-19,5,3,5,4,13,108,55.0,555.0,1148700,95700,622200.0,47800.0
6752,2025-06-20,7,1,0,2,20,481,53.0,1995.0,849000,35300,442100.0,17600.0
6753,2025-06-23,4,8,0,4,24,160,54.0,584.0,1127700,93900,610800.0,46900.0
6754,2025-06-24,1,3,5,1,13,135,48.0,621.0,1090700,90800,590700.0,45400.0
6755,2025-06-25,8,1,7,4,11,323,53.0,1386.0,1074000,44700,559300.0,22300.0
6756,2025-06-26,8,6,2,2,42,165,73.0,615.0,741700,61800,401700.0,30900.0
6758,2025-06-30,6,7,5,7,11,163,46.0,590.0,1367400,113900,740600.0,56900.0
6759,2025-07-01,5,2,6,1,22,273,46.0,1359.0,1013100,42200,527600.0,21100.0
6760,2025-07-02,3,0,9,9,20,108,66.0,620.0,974100,81100,527600.0,40500.0
6761,2025-07-03,1,4,7,9,28,376,95.0,1622.0,682700,28400,355500.0,14200.0
6762,2025-07-04,2,4,5,2,22,147,53.0,573.0,1060400,88300,574300.0,44100.0
6763,2025-07-07,9,1,8,1,22,231,81.0,855.0,866900,72200,469500.0,36100.0
6764,2025-07-08,2,9,8,2,23,177,72.0,674.0,804800,67000,435900.0,33500.0
6765,2025-07-09,5,3,5,8,31,150,70.0,700.0,789600,65800,427700.0,32900.0
6766,2025-07-10,4,7,9,0,25,301,59.0,1560.0,858200,35700,446900.0,17800.0
6767,2025-07-11,0,1,7,2,78,476,43.0,2066.0,580600,24100,302300.0,12000.0
6768,2025-07-14,5,2,9,5,30,149,47.0,582.0,1068100,89000,578500.0,44500.0
6769,2025-07-15,5,5,5,2,27,88,55.0,189.0,776900,194200,485500.0,97100.0
6770,2025-07-16,2,0,3,7,16,318,36.0,1336.0,1114500,46400,580400.0,23200.0
6771,2025-07-17,2,3,3,7,161,210,68.0,671.0,348900,29000,188900.0,14500.0
6772,2025-07-18,2,4,6,0,46,299,56.0,1146.0,818400,34100,426200.0,17000.0
6773,2025-07-21,7,7,8,0,13,130,54.0,515.0,1235500,102900,669200.0,51400.0
6774,2025-07-22,8,7,1,4,104,297,42.0,1258.0,518700,21600,270100.0,10800.0
6775,2025-07-23,5,4,9,3,10,232,46.0,1065.0,1274100,53000,663500.0,26500.0
6776,2025-07-24,7,9,2,4,25,392,68.0,1620.0,785700,32700,409200.0,16300.0
6777,2025-07-25,5,4,5,4,17,65,39.0,236.0,1284900,214100,749500.0,107000.0
6778,2025-07-28,6,7,1,0,14,312,55.0,1364.0,1217500,50700,634100.0,25300.0
6779,2025-07-29,1,5,9,2,21,378,53.0,1590.0,881400,36700,459000.0,18300.0
6780,2025-07-30,3,1,7,5,29,402,78.0,1600.0,711900,29600,370700.0,14800.0
6782,2025-08-01,3,4,9,7,15,395,58.0,1547.0,1034500,43100,538800.0,21500.0
6783,2025-08-04,3,0,8,0,9,233,56.0,964.0,1018900,84900,551900.0,42400.0
6784,2025-08-05,1,0,2,7,84,433,248.0,1808.0,314200,13000,163600.0,6500.0
6785,2025-08-06,4,8,7,6,85,245,46.0,1170.0,624600,26000,325300.0,13000.0
6786,2025-08-07,5,8,3,5,18,144,56.0,647.0,991200,82600,536900.0,41300.0
6787,2025-08-08,1,3,6,5,24,334,67.0,1577.0,894200,37200,465700.0,18600.0
6788,2025-08-11,6,0,1,4,31,356,52.0,1436.0,908200,37800,473000.0,18900.0
6789,2025-08-12,2,4,5,8,45,323,79.0,1260.0,652900,27200,340000.0,13600.0
6790,2025-08-13,5,5,4,1,17,104,49.0,459.0,1152400,96000,624200.0,48000.0
6791,2025-08-14,6,3,6,2,15,137,42.0,516.0,1147800,95600,621700.0,47800.0
6792,2025-08-15,5,1,4,0,10,403,64.0,1645.0,989600,41200,515400.0,20600.0
6793,2025-08-18,9,9,5,9,6,67,57.0,179.0,1257300,314300,785800.0,157100.0
6794,2025-08-19,9,2,8,8,78,122,39.0,484.0,675800,56300,366000.0,28100.0
6796,2025-08-21,5,8,0,6,17,283,56.0,1079.0,1105500,46000,575700.0,23000.0
6797,2025-08-22,9,6,6,0,23,164,37.0,617.0,1117400,93100,605200.0,46500.0
6798,2025-08-25,9,4,6,3,15,406,43.0,1553.0,1166900,48600,607700.0,24300.0
6799,2025-08-26,1,6,2,4,35,316,64.0,1488.0,756300,31500,393900.0,15700.0
6801,2025-08-28,0,7,7,4,149,173,42.0,689.0,425500,35400,230400.0,17700.0
6803,2025-09-01,0,5,4,9,13,410,38.0,1641.0,1246400,51900,649100.0,25900.0
6804,2025-09-02,0,5,3,8,15,520,64.0,2035.0,782500,32600,407500.0,16300.0
6805,2025-09-03,4,5,9,8,20,409,66.0,1639.0,868700,36100,452400.0,18000.0
6806,2025-09-04,3,3,7,6,173,173,67.0,662.0,366600,30500,198500.0,15200.0
6807,2025-09-05,1,8,7,1,15,190,42.0,797.0,1050100,87500,568800.0,43700.0
6808,2025-09-08,2,8,4,1,27,500,68.0,1814.0,847700,35300,441500.0,17600.0
6809,2025-09-09,5,2,6,0,35,285,74.0,1255.0,762700,31700,397200.0,15800.0
6810,2025-09-10,2,6,7,9,12,259,90.0,1285.0,900600,37500,469000.0,18700.0
6811,2025-09-11,7,9,6,1,86,381,32.0,0.0,587400,24400,305900.0,0.0
6812,2025-09-12,8,9,9,1,24,222,67.0,840.0,813500,67700,440600.0,33800.0
6813,2025-09-15,6,8,6,7,10,141,41.0,604.0,1364800,113700,739200.0,56800.0
6814,2025-09-16,1,3,1,4,34,159,81.0,630.0,686700,57200,371900.0,28600.0
6815,2025-09-17,7,6,0,4,13,243,36.0,956.0,1393200,58000,725600.0,29000.0
6816,2025-09-18,6,1,5,2,27,309,65.0,1295.0,853700,35500,444600.0,17700.0
6817,2025-09-19,8,7,2,1,105,438,52.0,1636.0,494500,20600,257500.0,10300.0
6818,2025-09-22,5,8,0,8,13,123,42.0,607.0,1371100,114200,742600.0,57100.0
6819,2025-09-23,4,7,8,7,20,123,41.0,0.0,1117600,93100,605300.0,0.0
6820,2025-09-24,2,4,7,7,57,123,59.0,469.0,727300,60600,393900.0,30300.0
6821,2025-09-25,7,7,2,8,18,141,78.0,613.0,930500,77500,504000.0,38700.0
6822,2025-09-26,1,5,4,0,122,305,41.0,1381.0,511200,21300,266200.0,10600.0
6823,2025-09-29,0,0,1,2,9,248,49.0,884.0,1051800,87600,569700.0,43800.0
6824,2025-09-30,7,7,6,5,25,121,35.0,447.0,1170900,97500,634200.0,48700.0
6825,2025-10-01,5,2,8,0,204,359,75.0,1554.0,317700,13200,165400.0,6600.0
6826,2025-10-02,1,9,1,6,36,240,72.0,918.0,652700,54300,353500.0,27100.0
6827,2025-10-03,2,9,6,4,29,314,55.0,1302.0,938300,39000,488600.0,19500.0
6828,2025-10-06,0,9,3,3,22,174,32.0,805.0,1154500,96200,625300.0,48100.0
6829,2025-10-07,7,7,1,7,10,81,47.0,182.0,1025500,256300,640900.0,128100.0
6830,2025-10-08,0,2,2,0,56,111,93.0,267.0,560100,93300,326700.0,46600.0
6831,2025-10-09,6,3,5,2,47,298,55.0,1321.0,719500,29900,374700.0,14900.0
6832,2025-10-10,3,1,4,8,16,408,85.0,1581.0,834100,34700,434400.0,17300.0
6833,2025-10-13,6,8,9,6,10,153,54.0,576.0,1191900,99300,645600.0,49600.0
6834,2025-10-14,4,7,0,6,281,188,33.0,848.0,257200,10700,133900.0,5300.0
6835,2025-10-15,1,3,5,0,30,382,65.0,1798.0,760000,31600,395800.0,15800.0
6836,2025-10-16,4,3,2,5,18,312,46.0,1173.0,1081700,45000,563300.0,22500.0
6837,2025-10-17,5,4,4,1,14,151,55.0,704.0,1135700,94600,615100.0,47300.0
6838,2025-10-20,0,1,0,0,42,83,70.0,261.0,736200,184000,460100.0,92000.0
6839,2025-10-21,8,6,0,7,70,175,26.0,913.0,766400,31900,399100.0,15900.0
6840,2025-10-22,2,3,2,6,29,128,64.0,515.0,930500,77500,504000.0,38700.0
6841,2025-10-23,8,6,1,2,28,329,54.0,1373.0,858900,35700,447300.0,17800.0
6842,2025-10-24,4,5,9,1,27,438,82.0,1750.0,762200,31700,396900.0,15800.0
6843,2025-10-27,0,5,2,3,80,481,164.0,1529.0,455300,18900,237100.0,9400.0
6844,2025-10-28,0,0,1,7,39,220,112.0,873.0,543100,45200,294100.0,22600.0
6845,2025-10-29,4,7,1,4,153,161,71.0,605.0,388700,32300,210500.0,16100.0
6846,2025-10-30,8,7,2,6,17,255,70.0,1233.0,927400,38600,483000.0,19300.0
6847,2025-10-31,0,1,3,7,76,405,43.0,1720.0,594100,24700,309400.0,12300.0
6848,2025-11-03,9,2,7,5,28,423,52.0,1527.0,943500,39300,491400.0,19600.0
6849,2025-11-04,9,2,2,7,12,124,36.0,550.0,1303300,108600,705900.0,54300.0
6850,2025-11-05,5,2,8,2,17,153,44.0,649.0,1091000,90900,590900.0,45400.0
6851,2025-11-06,2,9,8,1,136,334,59.0,1574.0,422800,17600,220200.0,8800.0
6852,2025-11-07,3,0,4,9,20,357,69.0,1300.0,926900,38600,482700.0,19300.0
6853,2025-11-10,6,7,2,7,23,155,39,545,1235200,102900,669000,51400
